#,Nome do negócio,Categoria,Telefone,WhatsApp?,WhatsApp (nº),E-mail,Instagram,Site,Cidade,Bairro,UF,Nota,Avaliações,Tempo ativ. (est.),Observação (argumento),Google Maps
73,AMR Estofados & Decorações,Loja de móveis,(44) 99715-1062,Sim,(44) 99715-1062,,https://www.instagram.com/amrestofados/,https://www.instagram.com/amrestofados/,Maringá,Jardim Liberdade,Paraná,4.7,51,3+ anos (est.),sem e-mail público • estabelecida (51 aval.),https://www.google.com/maps/search/?api=1&query=AMR%20Estofados%20%26%20Decora%C3%A7%C3%B5es&query_place_id=ChIJr9ZFLVTQ7JQR0k-C3vRcEOM
74,Império Estofados,Loja de sofás,(44) 99957-9285,Sim,(44) 99957-9285,,,https://www.instagram.com/imperio.estofados2024?igsh=MWpycGF2OXB0OHZzNA==,Sarandi,Jardim Panorama,Paraná,5,50,3+ anos (est.),sem Instagram • sem e-mail público • estabelecida (50 aval.),https://www.google.com/maps/search/?api=1&query=Imp%C3%A9rio%20Estofados&query_place_id=ChIJ_QtzOeHR7JQRHuHmTz6uuE8
75,Victorelli Estofados,Loja de sofás,(44) 99833-0018,Sim,(44) 99833-0018,,https://www.instagram.com/victorelli.estofados/,https://www.instagram.com/victorelli.estofados/,Marialva,Centro,Paraná,5,43,1-3 anos (est.),sem e-mail público • estabelecida (43 aval.),https://www.google.com/maps/search/?api=1&query=Victorelli%20Estofados&query_place_id=ChIJGZWzod_F7JQRLWk-2CFymGk
76,Mais Conforto Estofados,Loja de sofás,(43) 98479-7268,Sim,(43) 98479-7268,,,https://maisconfortoestofados.com.br/,Cambé,Centro,Paraná,5,39,1-3 anos (est.),sem Instagram • sem e-mail público • estabelecida (39 aval.),https://www.google.com/maps/search/?api=1&query=Mais%20Conforto%20Estofados&query_place_id=ChIJsQjMOxZZ65QRj8DasLgcI0Q
77,WCA Estofados,Loja de móveis,(41) 99224-6860,Sim,(41) 99224-6860,contato@wcastore.com.br,,https://wcastore.com.br/,Arapongas,Jardim Dona Pina,Paraná,5,39,1-3 anos (est.),sem Instagram • estabelecida (39 aval.),https://www.google.com/maps/search/?api=1&query=WCA%20Estofados&query_place_id=ChIJvcp3T22j7JQRcmTphNTZNok
78,TM Estofados,Loja de sofás,(44) 99889-0264,Sim,(44) 99889-0264,,https://www.instagram.com/tmestofados.maringa/,https://www.instagram.com/tmestofados.maringa/,Maringá,Parque Residencial Cidade Nova,Paraná,4.8,33,1-3 anos (est.),sem e-mail público • estabelecida (33 aval.),https://www.google.com/maps/search/?api=1&query=TM%20Estofados&query_place_id=ChIJ0yT_p9vX7JQR6FVml5Ll1J8
79,Montelino Estofados,Loja de sofás,(44) 99133-5444,Sim,(44) 99133-5444,,https://instagram.com/montelino_estofados,https://montelinoestofados.lojavirtualnuvem.com.br/,Sarandi,Jardim Independencia,Paraná,5,31,1-3 anos (est.),sem e-mail público • estabelecida (31 aval.),https://www.google.com/maps/search/?api=1&query=Montelino%20Estofados&query_place_id=ChIJPaQ7MkTb7JQRx6qVtLfPZrU
80,Apucarana Colchões e Estofados,Loja de sofás,(43) 99607-7106,Sim,(43) 99607-7106,,https://www.instagram.com/apucaranacolchoesesofas/,https://www.instagram.com/apucaranacolchoesesofas/,Apucarana,Centro,Paraná,4.9,29,1-3 anos (est.),sem e-mail público,https://www.google.com/maps/search/?api=1&query=Apucarana%20Colch%C3%B5es%20e%20Estofados&query_place_id=ChIJF6-MLJeZ7JQREeM5zpnlAyw
81,Phoenix Estofados,Loja,(43) 99106-6019,Sim,(43) 99106-6019,,,https://www.instagram.com/jessicaaline82?igsh=YmJpdnBlMm42ZXpj&utm_source=qr,Arapongas,,Paraná,5,28,1-3 anos (est.),sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Phoenix%20Estofados&query_place_id=ChIJxUc6Gpej7JQR2bYeF5_yxeg
82,Beto Estofados Reformas em geral,Tapeçaria,(44) 99771-7255,Sim,(44) 99771-7255,,https://www.instagram.com/estofados.beto/,https://www.instagram.com/estofados.beto/,Sarandi,Centro,Paraná,5,23,1-3 anos (est.),sem e-mail público,https://www.google.com/maps/search/?api=1&query=Beto%20Estofados%20Reformas%20em%20geral&query_place_id=ChIJDUJdllLR7JQROASfhdoZO-E
83,Estofados Palmares,Loja de sofás,(44) 99800-5513,Sim,(44) 99800-5513,,,https://linktr.ee/estofadospalmares,Maringá,Jardim America,Paraná,4.5,23,1-3 anos (est.),sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Estofados%20Palmares&query_place_id=ChIJl8Lbal7Q7JQRKsFhqTHejto
84,Kaisova Estofados,Loja de móveis,(43) 99848-8291,Sim,(43) 99848-8291,contato@kaisova.com.br,https://www.instagram.com/kaisovaestofados,https://www.kaisova.com.br/,Arapongas,Vila Araponguinha,Paraná,4.8,20,1-3 anos (est.),presença digital razoável,https://www.google.com/maps/search/?api=1&query=Kaisova%20Estofados&query_place_id=ChIJ7clxgKGh7JQR-2Vpo0QjRHs
85,Molufan Indústria e Comércio de Móveis e Estofados,Moveleiro,(43) 98806-4194,Sim,(43) 98806-4194,molufan@molufan.com.br,https://www.instagram.com/molufan.estofados,http://www.molufan.com.br/,Arapongas,Vila Triangulo,Paraná,4.6,18,1-3 anos (est.),presença digital razoável,https://www.google.com/maps/search/?api=1&query=Molufan%20Ind%C3%BAstria%20e%20Com%C3%A9rcio%20de%20M%C3%B3veis%20e%20Estofados&query_place_id=ChIJyXf3FvKj7JQRSpuIkpma810
86,Edson estofados,Tapeçaria,(43) 99989-9158,Sim,(43) 99989-9158,,,https://www.instagram.com/edsonlopesestofados?igsh=czgxdXIyZnNtcWZ1,Cambé,Cambé,Paraná,5,16,1-3 anos (est.),sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Edson%20estofados&query_place_id=ChIJvVkGTHJb65QRSS1fX_6mmwI
87,Sarandi Colchões e Estofados,Loja de sofás,(44) 99865-7766,Sim,(44) 99865-7766,,https://www.instagram.com/colchaosarandi/,https://www.instagram.com/colchaosarandi/,Sarandi,Jardim Independencia,Paraná,5,15,1-3 anos (est.),sem e-mail público,https://www.google.com/maps/search/?api=1&query=Sarandi%20Colch%C3%B5es%20e%20Estofados&query_place_id=ChIJn-LpNHDb7JQRrCeqnWkmG5Q
88,Griffe Estofados,Loja de sofás,(44) 99830-3007,Sim,(44) 99830-3007,,https://www.instagram.com/griffe.estofados.maringa/,https://www.instagram.com/griffe.estofados.maringa/,Maringá,Jardim Licce,Paraná,4.2,15,1-3 anos (est.),sem e-mail público,https://www.google.com/maps/search/?api=1&query=Griffe%20Estofados&query_place_id=ChIJz-b3jUPX7JQRVjUILqEd4Sg
89,RM Móveis e Estofados,Loja,(44) 99831-3494,Sim,(44) 99831-3494,,,https://www.instagram.com/rm.moveis_estofados?igsh=aWZidjNoaDhtb2dv,Sarandi,Jardim Independencia,Paraná,4.5,13,~1 ano (est.),sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=RM%20M%C3%B3veis%20e%20Estofados&query_place_id=ChIJOYXuX6Da7JQRDTY3Um8Xjk0
90,"Sofá Estofados Rodrim sofá sob medida, poltrona, cadeiras cabeceiras, reformas e acessórios para moveis RODRIM ESTOFADOS",Tapeçaria,(44) 99959-3829,Sim,(44) 99959-3829,,,https://wa.me/message/H6XFWEMNH7LSH1,Sarandi,Nova aliança,Paraná,4.8,11,~1 ano (est.),sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Sof%C3%A1%20Estofados%20Rodrim%20sof%C3%A1%20sob%20medida%2C%20poltrona%2C%20cadeiras%20cabeceiras%2C%20reformas%20e%20acess%C3%B3rios%20para%20moveis%20RODRIM%20ESTOFADOS&query_place_id=ChIJvc8OyKva7JQRiBYO3J4XjTg
91,Galassi Estofados,Tapeçaria,(43) 98461-7731,Sim,(43) 98461-7731,,,https://sites.google.com/view/galassiestofados/reforma-de-estofados,Ibiporã,Santa Paula,Paraná,4.5,8,~1 ano (est.),sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Galassi%20Estofados&query_place_id=ChIJW7gRuIJB65QRLuEWUdnY5QY
92,Tapeçaria Elcio Estofados,Tapeçaria,(43) 99850-8970,Sim,(43) 99850-8970,,,https://www.instagram.com/elcio.estofados?igsh=bXQ0eDBlNWJwZTNw&utm_source=qr,Cornélio Procópio,Cornélio Procópio,Paraná,5,8,~1 ano (est.),sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Elcio%20Estofados&query_place_id=ChIJgyjt_Q_f6pQRlT-Cw7E-dHo
93,JF Tapeçaria automotiva,Tapeçaria,(44) 99710-8617,Sim,(44) 99710-8617,,,https://www.jftapecaria.store/,Maringá,Jardim monte rei,Paraná,5,7,~1 ano (est.),sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=JF%20Tape%C3%A7aria%20automotiva&query_place_id=ChIJF4G0RgDX7JQRFT7FW16-Rko
94,Tapeçaria Cerqueira João Tapeceiro,Tapeçaria,(43) 99983-5274,Sim,(43) 99983-5274,,,https://facebook.com/tapecaria.cerqueira,Cornélio Procópio,Jardim Panorama,Paraná,4.9,7,~1 ano (est.),sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Cerqueira%20Jo%C3%A3o%20Tapeceiro&query_place_id=ChIJTfZ5T4_f6pQRnEuRYQghZ_0
95,Tapeçaria Automotiva Km,Tapeçaria,(44) 99845-5729,Sim,(44) 99845-5729,,https://www.instagram.com/km_tapecaria/,https://www.instagram.com/km_tapecaria/,Maringá,Jardim Colina Verde,Paraná,4.8,6,~1 ano (est.),sem e-mail público,https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Automotiva%20Km&query_place_id=ChIJIwDFKBHR7JQRF6I8XFXvEY4
96,Rk Tapeçaria Automotiva,Tapeçaria,(43) 98808-6401,Sim,(43) 98808-6401,,,https://instagram.com/rk_tapecaria_automotiva?igshid=YmMyMTA2M2Y=,Arapongas,São Raphael 5,Paraná,5,6,~1 ano (est.),sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Rk%20Tape%C3%A7aria%20Automotiva&query_place_id=ChIJl6BoGLmh7JQR883QdAIAmOA
97,Estofados LM,Moveleiro,(43) 99964-8630,Sim,(43) 99964-8630,,https://www.instagram.com/estofados_lm_,https://www.instagram.com/estofados_lm_,Rolândia,Centro,Paraná,5,5,~1 ano (est.),sem e-mail público,https://www.google.com/maps/search/?api=1&query=Estofados%20LM&query_place_id=ChIJF4Vly3On7JQRRhCJK8ZJ2pw
98,TRS tapeçaria,Tapeçaria,(44) 99906-0598,Sim,(44) 99906-0598,,,http://wa.me/5544999060598,Sarandi,Jardim ouro verde,Paraná,5,3,~1 ano (est.),sem Instagram • sem e-mail público • poucas avaliações (3),https://www.google.com/maps/search/?api=1&query=TRS%20tape%C3%A7aria&query_place_id=ChIJO9Gk6Gbb7JQRzLNvCoMdUFg
99,Mv Estofados Arapongas,Moveleiro,(43) 99638-0707,Sim,(43) 99638-0707,,,http://mvestofados.commercesuite.com.br/,Arapongas,Vila Triangulo,Paraná,5,3,~1 ano (est.),sem Instagram • sem e-mail público • poucas avaliações (3),https://www.google.com/maps/search/?api=1&query=Mv%20Estofados%20Arapongas&query_place_id=ChIJGa96Nluh7JQRS1AZ4ovQqcQ
100,Estofados Estilo,Loja de móveis,(44) 99936-5585,Sim,(44) 99936-5585,,https://www.instagram.com/sofaestilo/,https://www.instagram.com/sofaestilo/,Sarandi,Jardim Panorama,Paraná,5,3,~1 ano (est.),sem e-mail público • poucas avaliações (3),https://www.google.com/maps/search/?api=1&query=Estofados%20Estilo&query_place_id=ChIJHSV7FgrQ7JQRpp3uQ2fnJaQ
101,Ecomóbile Higienização de Estofados,Serviço de limpeza de tapeçaria,(43) 99800-2556,Sim,(43) 99800-2556,,,https://ecomobile.ueniweb.com/,Jandaia do Sul,Jandaia do Sul,Paraná,5,2,indefinido,sem Instagram • sem e-mail público • poucas avaliações (2),https://www.google.com/maps/search/?api=1&query=Ecom%C3%B3bile%20Higieniza%C3%A7%C3%A3o%20de%20Estofados&query_place_id=ChIJFzgWgFGV7JQRLYjsY0IaTIo
102,Max Tapeçaria Automotiva,Estofamento automotivo,(44) 99852-6584,Sim,(44) 99852-6584,,,https://www.instagram.com/max_tapecaria.automotiva?igsh=MWN2cjdjZzg0em10aw==,Marialva,Jardim Hamada,Paraná,5,2,indefinido,sem Instagram • sem e-mail público • poucas avaliações (2),https://www.google.com/maps/search/?api=1&query=Max%20Tape%C3%A7aria%20Automotiva&query_place_id=ChIJYXNsQIPF7JQRGyZapYSvkE4
103,Marcos - Estofados e Tapeçaria,Loja de sofás,(44) 99818-0531,Sim,(44) 99818-0531,,,https://www.facebook.com/marcos.craveiro.948,Astorga,Astorga,Paraná,5,2,indefinido,sem Instagram • sem e-mail público • poucas avaliações (2),https://www.google.com/maps/search/?api=1&query=Marcos%20-%20Estofados%20e%20Tape%C3%A7aria&query_place_id=ChIJufAMs--17JQRd3C0TMpcdmU
104,LS PRIME MOVEIS E ESTOFADOS,Loja de móveis,(44) 99812-6728,Sim,(44) 99812-6728,,https://www.instagram.com/lsprimemoveiseestofadospr/,https://www.instagram.com/lsprimemoveiseestofadospr/,Sarandi,Jardim Panorama,Paraná,5,2,indefinido,sem e-mail público • poucas avaliações (2),https://www.google.com/maps/search/?api=1&query=LS%20PRIME%20MOVEIS%20E%20ESTOFADOS&query_place_id=ChIJ32NEsuTR7JQR2aDqZ6smS8I
105,Estofados Delta,Tapeçaria,(44) 99173-4459,Sim,(44) 99173-4459,,,https://estofadosdelta.netlify.app/,Sarandi,Novo Panorama,Paraná,5,1,indefinido,sem Instagram • sem e-mail público • poucas avaliações (1),https://www.google.com/maps/search/?api=1&query=Estofados%20Delta&query_place_id=ChIJvTJyP7Pa7JQRinr6GrNKVI8
106,Blue Estofados,Loja de sofás,(43) 99155-9206,Sim,(43) 99155-9206,,https://instagram.com/blueestofados,https://instagram.com/blueestofados,Arapongas,Vila Industrial,Paraná,5,1,indefinido,sem e-mail público • poucas avaliações (1),https://www.google.com/maps/search/?api=1&query=Blue%20Estofados&query_place_id=ChIJM5YaxNyh7JQRbJ1dBt11kxs
107,REAL DECOR,Tapeçaria,(43) 99697-1637,Sim,(43) 99697-1637,,https://www.instagram.com/mercadolivre,http://www.mercadolivre.com.br/,Arapongas,Casa Família Arapongas II,Paraná,5,1,indefinido,sem e-mail público • poucas avaliações (1),https://www.google.com/maps/search/?api=1&query=REAL%20DECOR&query_place_id=ChIJZ1G97O6j7JQR4SFpftuHhsU
108,M/M Estofados Higienização de Estofados,Serviço de limpeza de tapeçaria,(44) 98438-8380,Sim,(44) 98438-8380,,,https://m-m-estofados-higienizacao-de-estofados.ueniweb.com/?utm_campaign=gmb,Marialva,Centro,PR,,0,indefinido,sem Instagram • sem e-mail público • poucas avaliações (0),https://www.google.com/maps/search/?api=1&query=M%2FM%20Estofados%20Higieniza%C3%A7%C3%A3o%20de%20Estofados&query_place_id=ChIJ0TMt03LF7JQRYK8U1D1VkQQ
109,Porto Estofados,Fabricante,(43) 98867-8070,Sim,(43) 98867-8070,,,http://www.portoestofados.com.br/,Arapongas,Jardim Petrópolis,Paraná,,0,indefinido,sem Instagram • sem e-mail público • poucas avaliações (0),https://www.google.com/maps/search/?api=1&query=Porto%20Estofados&query_place_id=ChIJn9aq7SKj7JQRenmaO3VvjKM
110,Tapeçaria Nacional,Estofamento automotivo,(44) 3228-2100,Não,,,,,Maringá,Jardim Alvorada,Paraná,4.6,76,3+ anos (est.),SEM SITE • sem Instagram • sem e-mail público • estabelecida (76 aval.),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Nacional&query_place_id=ChIJ9dvjoh7R7JQRO_09woQ6oYc
111,Tapeçaria e Auto Vidros São José - Linha Pesada,Tapeçaria,(43) 3154-5141,Não,,,,,Cambé,Parque Industrial José Garcia Gimenes,PR,4.8,40,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público • estabelecida (40 aval.),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20e%20Auto%20Vidros%20S%C3%A3o%20Jos%C3%A9%20-%20Linha%20Pesada&query_place_id=ChIJ90wYLStb65QRTB6NwoTybMA
112,Jandaia Estofados,Loja de artigos domésticos,(43) 3432-2318,Não,,,,,Jandaia do Sul,Pq Ind,Paraná,4.3,39,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público • estabelecida (39 aval.),https://www.google.com/maps/search/?api=1&query=Jandaia%20Estofados&query_place_id=ChIJ7V3sevuU7JQRoxOfzruCi-U
113,Quality Estofados,Loja de móveis,(44) 3040-4130,Não,,,,,Maringá,Jardim America,Paraná,4.7,25,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Quality%20Estofados&query_place_id=ChIJF2uIVIHR7JQRYvHqvwIrFlM
114,Jeise Estofados,Loja,(43) 3154-4017,Não,,,,,Cambé,Jardim Alvorada,Paraná,4.7,22,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Jeise%20Estofados&query_place_id=ChIJf64vTo9Z65QRR1BfxBehfjw
115,Vi Vace Estofados,Tapeçaria,(43) 3274-7034,Não,,,,,Arapongas,Jardim Petrópolis,Paraná,4.8,19,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Vi%20Vace%20Estofados&query_place_id=ChIJ99afr2uk7JQR7Kq6ktzouR0
116,Konfortlândia Colchões e Estofados,Loja de colchões,(43) 3313-6651,Não,,,,,Rolândia,Centro,Paraná,5,18,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Konfortl%C3%A2ndia%20Colch%C3%B5es%20e%20Estofados&query_place_id=ChIJY00Wvyyn7JQRN0KzuOfqcLI
117,Bilhart Tapeçaria e Decorações,Tapeçaria,(43) 3276-4561,Não,,,,,Arapongas,Vila Edio,Paraná,5,18,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Bilhart%20Tape%C3%A7aria%20e%20Decora%C3%A7%C3%B5es&query_place_id=ChIJ_flH7WCh7JQRFVmAeo-5opE
118,Sossani Estofados,Tapeçaria,(43) 3252-7676,Não,,,,,Arapongas,Vila Sampaio,Paraná,4,18,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Sossani%20Estofados&query_place_id=ChIJHWnU_2Oh7JQRcnZ24byr4xo
119,Estofados Pontal,Tapeçaria,(44) 3265-6226,Não,,,,,Maringá,Conjunto Residencial Ney Braga,Paraná,5,16,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Estofados%20Pontal&query_place_id=ChIJWS4DzOfX7JQRN-Li5VANBsw
120,Pirapó Estofados,Tapeçaria,(43) 3423-4622,Não,,,,,Apucarana,Vila Sao Francisco,Paraná,4.2,13,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Pirap%C3%B3%20Estofados&query_place_id=ChIJY25Hu_2Z7JQR_cqvsLbZpA4
121,Tapeçaria Cláudio,Tapeçaria,(44) 3224-6168,Não,,,,,Maringá,Zona 06,Paraná,5,13,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Cl%C3%A1udio&query_place_id=ChIJQ-RncMHX7JQR8f8tprF15TM
122,Tapeçaria e Estofados Globo,Tapeçaria,(44) 3224-6526,Não,,,,,Maringá,Zona 06,Paraná,4.6,12,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20e%20Estofados%20Globo&query_place_id=ChIJW1PBhh3X7JQRfyH5jZdYfbE
123,Estofados Silva,Tapeçaria,(44) 3232-6690,Não,,,,,Marialva,Jardim Custodio,Paraná,4.8,11,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Estofados%20Silva&query_place_id=ChIJESzBA3rE7JQR7D5iBWZysQA
124,Tapeçaria Souza,Loja de artigos para reforma,(43) 3523-4926,Não,,,,,Cornélio Procópio,Cornélio Procópio,Paraná,4.5,11,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Souza&query_place_id=ChIJj3N-lkDf6pQRPiuPTuZ3chs
125,Estofados Martines,Tapeçaria,(43) 3252-9499,Não,,,,,Arapongas,Parque Industrial IV,Paraná,3.7,9,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Estofados%20Martines&query_place_id=ChIJs4RSTd-j7JQRbcBMEnkrPIc
126,Tapeçaria Art Car Reforma Em Geral,Mecânica para carros,(43) 3156-1055,Não,,,,,Rolândia,Centro,Paraná,3,6,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Art%20Car%20Reforma%20Em%20Geral&query_place_id=ChIJgxD-grin7JQRB4Mes6-RRNk
127,D A Reforma de Estofados em Geral,Tapeçaria,(43) 3020-8482,Não,,,,,Cambé,Jardim Alvorada,Paraná,3.2,5,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=D%20A%20Reforma%20de%20Estofados%20em%20Geral&query_place_id=ChIJq_DYyIxZ65QR1GdnWYsoypE
128,Tapeçaria Esperança,Loja de artigos domésticos,(44) 3234-6987,Não,,,,,Astorga,Astorga,Paraná,4,4,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (4),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Esperan%C3%A7a&query_place_id=ChIJL1NG5xW17JQRnbCsWoaKlLs
129,Tapecaria Em Geral,Tapeçaria,(44) 3259-5825,Não,,,,,Maringá,Parque Industrial,Paraná,4.3,3,~1 ano (est.),SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (3),https://www.google.com/maps/search/?api=1&query=Tapecaria%20Em%20Geral&query_place_id=ChIJd4HJHF7X7JQR9t7sIcDp2oU
130,Tapeçaria Graciosa,Tapeçaria,(43) 3347-4502,Não,,,,,Cambé,Jardim Santo Amaro,Paraná,3.5,2,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (2),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Graciosa&query_place_id=ChIJBzmT9BNb65QRzJ9zGrAf71U
131,Estofados Becker,Loja de artigos domésticos,(43) 3523-7972,Não,,,,,Cornélio Procópio,Cornélio Procópio,Paraná,5,2,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (2),https://www.google.com/maps/search/?api=1&query=Estofados%20Becker&query_place_id=ChIJuT5QoK3Y6pQRUyO-i3xGjn8
132,Diniz,Tapeçaria,(43) 3425-6798,Não,,,,,Apucarana,Vila Santa Rosa,Paraná,5,1,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (1),https://www.google.com/maps/search/?api=1&query=Diniz&query_place_id=ChIJRTkEvOGb7JQR4Q9J3gkzz44
133,Tapeçaria França Autos e Sofás em Geral,Tapeçaria,(43) 3033-2576,Não,,,,,Apucarana,Jardim Apucarana,Paraná,2,1,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (1),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Fran%C3%A7a%20Autos%20e%20Sof%C3%A1s%20em%20Geral&query_place_id=ChIJ66Y-tV2Z7JQRF4Jh1AK7sA4
134,Couto Estofados,Fabricante,(43) 3424-7125,Não,,,,,Apucarana,Jardim Independencia,Paraná,5,1,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (1),https://www.google.com/maps/search/?api=1&query=Couto%20Estofados&query_place_id=ChIJCSg0yPub7JQR8kpSOCY0f8s
135,Moderna Estofados,Loja de sofás,(42) 3742-0756,Não,,,,,Sarandi,Conjunto Floresta,Paraná,5,1,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (1),https://www.google.com/maps/search/?api=1&query=Moderna%20Estofados&query_place_id=ChIJXxrAb-7b7JQRo4hX6gru3Hw
136,Tapeçaria Ruthes,Tapeçaria,(43) 3423-7411,Não,,,,,Apucarana,Jardim Apucarana,Paraná,,0,indefinido,SEM SITE • sem Instagram • sem e-mail público • poucas avaliações (0),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Ruthes&query_place_id=ChIJ41FVK1mZ7JQR7v5pmgaRevU
137,Roma Estofados - Reforma e fabricação de estofados - Maringá/PR,Tapeçaria,(44) 3040-5698,Não,,,,https://instagram.com/roma.estofados?r=nametag,Maringá,Jardim Alvorada,Paraná,5,203,3+ anos (est.),sem Instagram • sem e-mail público • estabelecida (203 aval.),https://www.google.com/maps/search/?api=1&query=Roma%20Estofados%20-%20Reforma%20e%20fabrica%C3%A7%C3%A3o%20de%20estofados%20-%20Maring%C3%A1%2FPR&query_place_id=ChIJE0wDMTzR7JQRKgP6JN5ejWo
138,Tapeçaria Brasil,Tapeçaria,(44) 3263-4476,Não,,,,https://mechamenozap.com.br/tapecariabrasil/,Maringá,Zona 07,Paraná,4.2,184,3+ anos (est.),sem Instagram • sem e-mail público • estabelecida (184 aval.),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Brasil&query_place_id=ChIJmXRuaCvR7JQRP-mUoxJaeh8
139,Temda Estofados,Moveleiro,(43) 3440-1001,Não,,,,http://www.temdaestofados.com.br/,Apucarana,Pirapó,Paraná,4.6,158,3+ anos (est.),sem Instagram • sem e-mail público • estabelecida (158 aval.),https://www.google.com/maps/search/?api=1&query=Temda%20Estofados&query_place_id=ChIJnRenXXKX7JQRgFCc_h2_iz0
140,Tapeçaria e Auto Vidros São José - Linha Leve,Tapeçaria,(43) 3254-5141,Não,,,https://www.instagram.com/saojose_tapecaria,https://silvdesing.wixsite.com/saojose,Cambé,Centro,Paraná,4.6,135,3+ anos (est.),sem e-mail público • estabelecida (135 aval.),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20e%20Auto%20Vidros%20S%C3%A3o%20Jos%C3%A9%20-%20Linha%20Leve&query_place_id=ChIJOa-twudZ65QRCKw7aIJfe60
141,Gralha Azul Estofados,Loja de móveis,(43) 3303-3300,Não,,contato@gralha-azul.ind.br,https://www.instagram.com/gralhaazulestofados,http://www.gralha-azul.ind.br/,Arapongas,Parque Industrial,Paraná,4.3,117,3+ anos (est.),estabelecida (117 aval.),https://www.google.com/maps/search/?api=1&query=Gralha%20Azul%20Estofados&query_place_id=ChIJqTq-1Fah7JQRJDXzC0GsHT0
142,Tapeçaria e Auto Vidros Begnini,Tapeçaria,(43) 3254-5139,Não,,tapbegnini@gmail.com,https://www.instagram.com/tapecaria_begnini,https://begniniautovidros.com.br/,Cambé,Centro,Paraná,4.3,110,3+ anos (est.),estabelecida (110 aval.),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20e%20Auto%20Vidros%20Begnini&query_place_id=ChIJIzQHp-hZ65QRlSaRmE6qftM
